Year,Gini_Index,Education_Spending_%GDP,Unemployment_%,Country_Canada,Country_China,Country_France,Country_Germany,Country_India,Country_Indonesia,Country_Japan,Country_South Africa,Country_UK,Country_USA,Education_Efficiency,Edu_to_Unemp_Ratio,Economic_Stress_Index
2015,0.8425485077947986,0.5270717645584267,-0.2686731182704878,False,False,False,False,False,False,False,False,False,False,0.625567708107657,-1.9617657684441712,0.5738753895243108
2017,-0.999992690660414,0.4073092337735473,0.4892377410305517,False,False,False,False,True,False,False,False,False,False,-0.4073126182724101,0.8325367547867839,-0.5107549496298622
2004,-0.8694534216635517,-0.62587386859224,-1.1720621458797376,False,False,False,False,False,False,False,False,False,False,0.7198483240689987,0.533994212496879,-2.041515567543289
2021,0.8799663433899004,-0.6300302940669906,0.006374215033954,False,False,False,False,False,False,False,False,False,False,-0.7159700854805854,-98.82494797610563,0.8863405584238544
2003,-0.2587265589562702,-0.5721345116333647,0.0829625587666417,False,False,False,False,True,False,False,False,False,False,2.211356751692502,-6.896214677128951,-0.1757640001896285
2012,-0.8464345059606262,1.0576717351715792,0.3192932258192649,False,False,False,False,True,False,False,False,False,False,-1.2495626977469618,3.31253010435043,-0.5271412801413613
2018,0.1685021190303082,-1.8904485003464817,-1.380108336013389,False,False,False,False,False,False,False,False,False,False,-11.219071262452132,1.369783676251788,-1.2116062169830808
2022,-0.6407333241858575,-0.2225250297605673,-0.5313910679858027,False,False,False,False,False,False,False,False,False,True,0.3472979610375008,0.4187602350266595,-1.1721243921716602
2001,0.0694550433064178,1.479307159316324,0.5194051684158041,False,False,False,False,False,False,False,False,False,False,21.298465747467,2.848073914540197,0.5888602117222219
2012,-0.4406023559606367,0.6268085316882405,0.1533416636922381,False,False,False,False,False,False,False,False,False,False,-1.4226205235379246,4.087632995252112,-0.2872606922683985
2010,-0.3644858667348092,1.0893374513921182e-15,1.6247069368458174,False,False,False,False,False,False,False,False,False,False,-2.988704198203913e-15,6.704820150672378e-16,1.260221070111008
2021,0.9126882710409396,-0.2089302373829751,-0.5834992086835231,False,False,False,False,False,False,False,False,False,False,-0.2289171616367157,0.3580649165219535,0.3291890623574165
2003,-2.2661702184753363,-1.2053310801749748,-2.0059354829971947,False,False,False,False,True,False,False,False,False,False,0.5318804396195592,0.600882576371095,-4.272105701472531
2021,0.4191536330878551,-0.0090169515985001,-0.5220013564694794,False,False,False,False,False,False,False,False,False,False,-0.0215122317319349,0.0172738418408097,-0.1028477233816243
2019,0.7661799346967135,-0.7396321594551674,-2.664312184287112,False,False,False,False,False,False,False,False,False,True,-0.9653492092542668,0.2776072719347422,-1.8981322495903985
2019,-0.6260508822771782,2.1250658106797946,0.6180909436789355,False,False,False,False,True,False,False,False,False,False,-3.394403338836409,3.438106308312681,-0.0079599385982427
2014,0.7593536125293389,-0.2188581063958395,-0.0701014492949484,False,False,False,False,False,False,False,False,False,True,-0.2882159438879862,3.1220642463358783,0.6892521632343904
2003,-1.0518599210203349e-15,0.5618101699489302,0.3216286990234732,False,False,False,False,False,False,False,False,False,True,561810.1705398757,1.7467608608741327,0.3216286990234721
2008,-0.659793707296262,1.6067096362647286,0.4770641437776453,False,False,False,False,False,False,False,False,False,True,-2.43517337869465,3.36790406346182,-0.1827295635186167
2006,-0.7621016183635639,-1.139773991500208,0.9476636908702156,False,False,False,False,False,False,False,False,False,True,1.495568910503722,-1.2027186435041528,0.1855620725066517
2018,0.7713683509388687,-2.300500321025109,-2.5950410539007938,False,False,False,False,True,False,False,False,False,False,-2.982358993425219,0.8864989646564644,-1.823672702961925
2018,-1.623477019978999,0.417138673843526,-2.059391916515646,False,False,False,False,True,False,False,False,False,False,-0.2569416909828591,-0.20255439144565,-3.682868936494645
2005,1.3832209490345382,0.6019097541126252,-0.8040570655958605,False,False,False,False,False,False,False,False,False,True,0.4351505226856372,-0.7485917709812547,0.5791638834386776
2005,-0.3444368128949568,-0.4699637019192904,-0.3635162031871018,False,False,False,False,False,False,False,False,False,True,1.3644449395934797,1.292830940216273,-0.7079530160820586
2019,0.4725899954418883,-1.1981586467246652,0.1277197862780415,False,False,False,False,True,False,False,False,False,False,-2.535297240702496,-9.38107790940416,0.6003097817199298
2014,0.3960219527884754,0.2403338610052894,0.0547740141843634,False,False,False,False,True,False,False,False,False,False,0.6068685143450688,4.387654929606525,0.4507959669728388
2014,0.0607413322484076,-0.0869568502839268,0.1043599953394402,False,False,False,False,True,False,False,False,False,False,-1.4315691720283992,-0.8332313236482135,0.1651013275878478
2019,-0.6071246891835613,0.2524832493203764,-1.5920678780002449,False,False,False,False,False,False,False,False,False,False,-0.4158678928504783,-0.1585883437494248,-2.199192567183806
2008,1.0299108343975003,-1.1752995500989456,-0.8424994325478375,False,False,False,False,False,False,False,False,False,False,-1.141165205453239,1.3950168981854,0.1874114018496627
2003,-0.5308847866910547,0.2550286036013687,-0.381589018758063,False,False,False,False,False,False,False,False,False,False,-0.4803849919601734,-0.6683349347062797,-0.9124738054491176
2017,-0.7230925728260472,0.7404613114900773,-0.2140376735116189,False,False,False,False,False,False,False,False,False,True,-1.0240214923210131,-3.459506725373779,-0.937130246337666
2017,0.7060116932687139,-1.5412161554516337,-0.5552849713673185,False,False,False,False,False,False,False,False,False,False,-2.182986467730595,2.775545909701983,0.1507267219013954
2004,0.0558719782627883,1.369286264078832,0.1811621535928546,False,False,False,False,False,False,False,False,False,True,24.50712860944418,7.5583044174433,0.2370341318556429
2019,1.13245457967616,0.1860483314725513,-1.1805042450267098,False,False,False,False,False,False,False,False,False,True,0.1642875312829084,-0.1576008640860125,-0.0480496653505497
2022,-0.1292472334022803,0.7712795625742972,-0.5378633482131215,False,False,False,False,False,False,False,False,False,False,-5.967520617592632,-1.4339720285991964,-0.6671105816154018
2010,-0.6517036755924952,-1.3185282307355812,0.4237558643724252,False,False,False,False,False,False,False,False,False,True,2.023205182542548,-3.111520642121735,-0.22794781122007
2004,0.1704464783278647,0.6060872526533589,0.1324907593747625,False,False,False,False,False,False,False,False,False,False,3.555859309854489,4.574527921687547,0.3029372377026272
2021,-0.4711663249941458,-1.6773595937380033,-0.4313031651174541,False,False,False,False,False,False,False,False,False,False,3.5600234243868525,3.889059062064336,-0.9024694901116
2003,-0.6259872594258058,-0.9940650732993236,-0.4091575181225124,False,False,False,False,True,False,False,False,False,False,1.5879982321195725,2.429547200813929,-1.0351447775483182
2011,0.665311745971985,0.1947560352999843,-0.531515886461194,False,False,False,False,False,False,False,False,False,False,0.2927285498122489,-0.3664168967997541,0.1337958595107909
2001,1.5532325978600905,-0.3344158879925892,-0.3939015774020223,False,False,False,False,True,False,False,False,False,False,-0.2153030223227969,0.8489855237030487,1.1593310204580682
2012,-0.2924967631349129,-0.0366770208472264,-0.5585645567356347,False,False,False,False,False,False,False,False,False,False,0.1253933405876693,0.0656631110371302,-0.8510613198705476
2009,-0.939366712839427,1.827471830463546,-0.4225540647359065,False,False,False,False,False,False,False,False,False,False,-1.9454316944777927,-4.324833927321546,-1.3619207775753337
2008,-0.2098877725934193,-0.0520648456804171,0.2215161008594627,False,False,False,False,True,False,False,False,False,False,0.2480615859546049,-0.2350375906799568,0.0116283282660434
2009,0.3836697966243563,0.6326938618101442,0.2011710737159489,False,False,False,False,True,False,False,False,False,False,1.6490539998789666,3.1450382258498557,0.5848408703403052
2006,0.1551123537778362,-0.1291668361254241,-1.3480345638512914,False,False,False,False,False,False,False,False,False,False,-0.8327254422622152,0.0958187092585427,-1.1929222100734551
2003,0.9871513091413944,-0.1582284205745733,1.6812338900504866,False,False,False,False,False,False,False,False,False,True,-0.1602877480094204,-0.0941144045433305,2.668385199191881
2018,0.517158654466102,-1.0235215129878932,-0.596963940333077,False,False,False,False,True,False,False,False,False,False,-1.979120962257858,1.7145478284076006,-0.079805285866975
2009,-1.0536520347032092,0.2975401795859544,0.3904878412957762,False,False,False,False,False,False,False,False,False,True,-0.2823896810102455,0.76196845625246,-0.663164193407433
2002,-0.5117588910488984,2.424124936651437,-1.112624405054581,False,False,False,False,False,False,False,False,False,True,-4.736858930856842,-2.178747027645458,-1.6243832961034794
2020,-1.30006525466647,0.0225531790712164,1.360141012627369,False,False,False,False,False,False,False,False,False,True,-0.0173477418445001,0.0165814884488794,0.060075757960899
2018,0.9431380833783636,-0.3256419442718834,0.4581163871110648,False,False,False,False,True,False,False,False,False,False,-0.3452745729775298,-0.7108264244791382,1.4012544704894283
2020,-1.84281288754132,1.0550352651365231,0.3061797268591926,False,False,False,False,False,False,False,False,False,True,-0.5725138155822032,3.4457925420685163,-1.5366331606821275
2001,-1.2134625331523383,0.939904820026745,-0.2415439319547996,False,False,False,False,True,False,False,False,False,False,-0.7745649897817972,-3.891253668323573,-1.455006465107138
2019,-0.5281767917454928,0.3671409151063439,-1.862358663542185,False,False,False,False,False,False,False,False,False,True,-0.6951112126760529,-0.1971377046920437,-2.3905354552876776
2009,0.4272956038887667,-0.3662246752481514,1.555424729209175,False,False,False,False,False,False,False,False,False,False,-0.8570736858547243,-0.2354497989655546,1.9827203330979415
2001,-0.536926568401037,1.059241519350447,0.7659502966881451,False,False,False,False,False,False,False,False,False,False,-1.9727902370245949,1.3829097540933,0.229023728287108
2001,-0.3979881530216668,0.0549981484895533,-0.3806703225574778,False,False,False,False,True,False,False,False,False,False,-0.1381907633751161,-0.1444774906474084,-0.7786584755791446
2023,-0.3804889149912495,0.8329137825364806,0.3999596316708801,False,False,False,False,False,False,False,False,False,False,-2.1890676410987613,2.082489416663061,0.0194707166796306
2016,0.0798831439097513,-0.8675416852547416,-1.345776233267676,False,False,False,False,False,False,False,False,False,False,-10.859998527803494,0.6446408462639517,-1.2658930893579246
2015,-1.1576640510804368,-0.6393296023193527,-1.927231564095308,False,False,False,False,False,False,False,False,False,True,0.552258795616455,0.3317348812488715,-3.0848956151757445
2015,-0.9148837838241484,0.0314005846548488,-0.0509537138982003,False,False,False,False,True,False,False,False,False,False,-0.0343219756782354,-0.6162691297971845,-0.9658374977223486
2013,1.419439294760182,-1.2756273937024276,-0.845145514743053,False,False,False,False,False,False,False,False,False,True,-0.8986833742929273,1.509360081559842,0.5742937800171289
2006,0.2838323407139392,-0.4265993592300178,-0.537883892641759,False,False,False,False,False,False,False,False,False,True,-1.5029924185684904,0.7931082491484661,-0.2540515519278197
2020,0.6021541870692458,-1.3191251095192378,-0.1184174403861531,False,False,False,False,False,False,False,False,False,True,-2.190672998998085,11.13971257046406,0.4837367466830927
2010,-0.0220433606500889,-1.5793496582165611,-1.225435357583704,False,False,False,False,False,False,False,False,False,True,71.65065862445144,1.2888080446272967,-1.247478718233793
