Country,Year,Gini_Index,Education_Spending_%GDP,Unemployment_%
Brazil,2015,41.1885826279736,4.981643646107663,6.189959969608823
India,2017,28.742017855060745,4.883996681711217,7.355132486331124
Brazil,2004,29.623824714164,4.041603046986361,4.801136925366505
Brazil,2021,41.441344148197466,4.03821415458663,6.612803354990113
India,2003,33.7493506245844,4.085418796714269,6.7305462691118425
India,2012,29.77931997556651,5.41426206273317,7.093868676660288
Brazil,2018,36.63532648111564,3.0105470628292035,4.481297593368982
USA,2022,31.16885367227349,4.37046875687596,5.786071133736728
Brazil,2001,35.96625278843589,5.758037523888843,7.401510311451519
Brazil,2012,32.52075997492191,5.062962840726513,6.838743424231701
Brazil,2010,33.034935079516735,4.551901910600629,9.100743443494125
Brazil,2021,41.66238430314471,4.381553110208943,5.705962803458316
India,2003,20.18885191924996,3.569149456219163,3.5191836680496675
Brazil,2021,38.32850452661147,4.544550045656451,5.8005063851446055
USA,2019,40.67270466959896,3.948851568665937,2.507029760265902
India,2019,31.26803515293407,6.284549210182861,7.553224661123295
USA,2014,40.626592126178906,4.373458539514098,6.495233668290686
USA,2003,35.497076470401,5.009967194483981,7.097459111020332
USA,2008,31.04009872601824,5.861913628118352,7.336417434587686
USA,2006,30.34899773845379,3.622600653866765,8.059892566161741
India,2018,40.70775298161551,2.676216155891161,2.6135235732756
India,2018,24.530313879993003,4.892010999530488,3.437002542903719
USA,2005,44.84088335615345,5.042661916626902,5.366888689309293
USA,2005,33.17036860331667,4.168722559194261,6.044153171104958
India,2019,38.68947292494413,3.5749974150854986,6.799353689906768
India,2014,38.17224752818238,4.747855284456743,6.687210674918138
India,2014,35.90739072923911,4.481002670178316,6.763441569023399
Brazil,2019,31.39588363113464,4.757761144665833,4.15544207889873
Brazil,2008,42.45423537756712,3.593635309422885,5.307789404874306
Brazil,2003,31.910892405673373,4.759836469203679,6.016368969645574
USA,2017,30.61250805367457,5.155628291849965,6.273953644974079
Brazil,2017,40.2662617011412,3.295289528812063,5.749337896317442
USA,2004,35.87449771722122,5.668333286931645,6.881513190406899
USA,2019,43.1469294506972,4.703594219374151,4.788158483655605
Brazil,2022,34.623997451267,5.18075558873205,5.7761209886123375
USA,2010,31.09474776382552,3.4768554970139665,7.254464073827031
Brazil,2004,36.64846083814339,5.04606799070199,6.806688334426108
Brazil,2021,32.31429706347558,3.1842865850362845,5.939941041058177
India,2003,31.268464932165767,3.7414026986679327,5.973986600541698
Brazil,2011,39.99132916193524,4.710693942802169,5.785879244340607
India,2001,45.989330403650165,4.279239867686107,5.997440285927144
Brazil,2012,33.52122924848906,4.521997735017783,5.744296033292903
Brazil,2009,29.151552882284417,6.041909474696896,5.953391450411099
India,2008,34.07926190060109,4.509451453858075,6.943551238442884
India,2009,38.08880737937554,5.067761375102069,6.912273857747412
Brazil,2006,36.54487717086482,4.446587256963287,4.5306061332484
USA,2003,42.16539016683027,4.422892237465848,9.187645025018988
India,2018,38.9905390296542,3.717385738616526,5.68526282921917
USA,2009,28.379543191340545,4.794497780378374,7.203319555050321
USA,2002,32.04008989615535,6.528383534948752,4.892513399546337
USA,2020,26.714995280148045,4.570290378674582,8.694013628269074
India,2018,41.868076073781126,4.286393599028434,7.307288144446888
USA,2020,23.048676408371595,5.412112448041845,7.073708669188653
India,2001,27.300006016266124,5.318242199969224,6.231666961807392
USA,2019,31.929185203968963,4.851245917703007,3.73991116128239
Brazil,2009,38.3835044186289,4.253304948840603,8.994232600899112
Brazil,2001,31.870079517766094,5.415541967715299,7.780535897467835
India,2001,32.808623517713045,4.596744001129562,6.017781325136992
Brazil,2023,32.9268327603638,5.231008321726316,7.217880990203003
Brazil,2016,36.03669573414948,3.8445620481467673,4.534077972578065
USA,2015,27.67693078837999,4.03063207348097,3.6401789567929774
India,2015,29.31693771171172,4.577504006278843,6.524670395272453
USA,2013,45.08554219277535,3.5118341875852166,5.303721456496186
USA,2006,37.41439458318207,4.204079163625581,5.776089404682214
USA,2020,39.56469303111707,3.476368838950257,6.420955190489762
USA,2010,35.3481711887313,3.264197827906985,4.719083741085685
USA,2023,34.15831851054356,6.44879414117312,6.379714594474944
USA,2000,37.742785676571685,4.012820191051187,4.843776613627076
USA,2010,39.3656821020568,4.083173657129743,8.018708512215833
India,2022,40.07645404815031,4.564175279199314,6.349493594323748
Brazil,2020,34.24064264108396,3.650609974068003,7.29133779582028
USA,2003,40.73225933766993,4.098665541691416,3.8411402440515454
USA,2006,20.202699267022272,5.967527334801158,7.384636448801172
USA,2014,40.353722058350726,4.786479666312998,8.745835536757063
USA,2017,32.43856425953719,5.288865393945706,6.676416182057413
